scarf шарф
authorized авторизований
familiarity знайомство
nl н.л.
hastings гастінгс
clubs клуби
reconciled примирився
grievous тяжкий
mercury ртуть
elegance елегантність
chivalry лицарство
luminous світлий
beseech просимо
benevolent доброзичливий
confided довірено
dances танці
perplexity збентеженість
escaping втекти
terrific приголомшливий
companionship товариство
commence почати
daisy ромашка
parliament парламент
9th 9-е місце
creep повзати
pleading прохання
disdain зневажити
pm м
sympathies симпатії
guides гіди
emergency надзвичайна ситуація
parcel посилка
suicide самогубство
replies відповіді
drawer ящик
contribution внесок
supposition припущення
vii vii
weren't не було
link посилання
homely домашній
pluck зірвати
ruling постановив
patrick патрік
statesmen державні діячі
hannah ханна
printing друк
joshua джошуа
synonymous синонім
sinister зловісний
advocate адвокат
destructive руйнівний
environment навколишнє середовище
blossom цвісти
bridle вуздечка
yon йон
waistcoat жилет
extends продовжується
confirm підтвердити
listing перелік
solemnity урочистість
projects проекти
reporter репортер
deprive позбавити
detachment загін
infernal пекельний
traversed пройдена
moss мох
skilled кваліфікований
announce оголосити
hateful ненависна
fugitive втечу
gothic готичний
coolness прохолода
insurrection повстання
cum сперму
med мед
coachman кучер
expend витрачати
stepping крокуючи
julius юлій
resign піти у відставку
despatch відправка
excluded виключено
reject відкинути
tough жорсткий
plea прохання
roy рой
fragment фрагмент
lacked не вистачало
wordsworth wordsworth
balcony балкон
darker темніше
mac мак
nevada штат невада
christopher крістофер
fork вилка
flatter лестити
iniquity беззаконня
meditation медитація
disastrous катастрофічний
stain плямити
patches патчі
hints натяки
ordained висвячений
drinks напої
whipped збити
burial поховання
matt метт
employee працівник
employer роботодавець
hypothesis гіпотеза
steed коні
width ширина
sweden швеція
transaction транзакція
victories перемоги
devout побожний
outrage обурення
vary змінюватися
attorney адвокат
rouse розбухати
doubled подвоєно
sidney сидней
schooner шхуна
flaming палаючий
offend ображати
sheriff шериф
encamped таборували
magnificence пишність
vent вентиляція
politely ввічливо
vines виноградники
flags прапори
italians італійці
necessities необхідність
austin остін
nobler благородний
accusation звинувачення
impulses імпульси
packet пакет
shabby обшарпаний
irritated дратує
dakota дакота
industrious працьовитий
classic класичний
ranch ранчо
ascending висхідний
cruelly жорстоко
happiest найщасливіший
antonio антоніо
accuse звинуватити
insulted ображається
bridges мости
players гравці
sixteenth шістнадцятий
solicitation заклик
embarked вступив
idol ідол
odds шанси
aims цілі
illuminated освітлений
enchanted зачарований
adversary супротивник
pie пиріг
reflecting що відображає
pension пенсія
luxurious розкішний
pigs свині
choir хор
tumbled впав
conqueror завойовник
irritation роздратування
verb дієслово
monkey мавпа
acceptable прийнятний
dynasty династія
accurately точно
divinity божество
signature підпис
heretofore до цього часу
hazard небезпека
dora дора
sq. кв.
stead замість
attire вбрання
fling кидати
marine морський
occupations професії
soothing заспокійливий
devised розроблений
singer співак
spaces пробіли
emerson емерсон
word слово
disguised замаскований
antique антикварні
orthodox православний
poisoned отруєний
dove голубка
gratification задоволення
sydney сідней
electricity електрика
alien чужий
sorely болісно
cracked тріснуті
supremacy верховенство
summon викликати
depressed пригнічений
sexes статі
offerings жертви
pledged заставлений
irony іронія
recourse регрес
tortured катували
thickly густо
correspondent кореспондент
sounding звучання
64 64
sombre мерзенний
brushed щіткою
reasonably розумно
12th 12-е
duel поєдинок
reluctantly неохоче
implies мається на увазі
cable кабель
ridden їздили
acre акр
grieve сумувати
inquiring запитує
colonists колоністи
addison аддісон
republican республіканський
illustrate ілюструємо
tim тим
liverpool ліверпуль
gilded позолочений
clumsy незграбний
satin атлас
displeased невдоволений
odor запах
clearer ясніше
prairie прерія
hudson гудзон
feudal феодальний
flint кремень
easter великдень
freshness свіжість
nursery розплідник
explanations пояснення
adoption усиновлення
reluctance небажання
crosses хрести
blushing червоніє
imported імпортований
notorious горезвісний
equipped обладнаний
sinful гріховний
starving голодувати
eugene євген
bedside приліжкова тумба
sovereigns государі
abrupt різко
excused вибачте
injure пошкодити
incessant безперервний
correctly правильно
drooping падіння
adored обожнюється
embroidered вишитих
pasture пасовище
pillar стовп
import імпорт
founder засновник
torch факел
vault сховище
worm черв'як
ay ай
bravery хоробрість
confinement ув'язнення
trusting довіряю
butler дворецький
rattle грюкатися
transported перевезено
estimation оцінка
edit редагувати
gotten отримав
cuts скорочення
headlong без головки
outfit одяг
insolence нахабство
secrecy таємниця
thereupon після цього
unlucky нещасливий
eighth восьмий
valour доблесть
grammar граматика
relaxed розслаблений
mentions згадує
adjacent сусідні
knives ножі
attacking атакуючи
exceptional винятковий
recollections спогади
deposit депозит
establishing створення
muddy брудний
arches арки
aspects аспекти
senior старший
fragrance аромат
colonial колоніальний
penetrating проникаючий
refinement вишуканість
te ти
yacht яхта
intelligible зрозумілий
stray бродячий
forcibly насильно
jenny дженні
superficial поверхневий
tends має тенденцію
identified виявлено
wan ван
choosing вибираючи
frighten лякайся
grotesque гротеск
reprinted перевиданий
tutor репетитор
contributing сприяючи
welsh валлійська
gaiety веселощі
besieged осаджений
robbery грабіж
transmitted передається
swam плавав
consequential послідовний
slid ковзав
stony кам'янистий
donald дональд
gratify задовольнити
heavier важче
confidently впевнено
mabel мейбл
demon демон
treatise трактат
mechanically механічно
batteries акумулятори
trading торгівля
cock півень
pilgrimage паломництво
extinct вимерлий
idleness неробство
sicily сицилія
merrily весело
excursion екскурсія
handling обробка
utah штат юта
eminence превосходительство
lump одноразовий
boyhood хлопчик
montana монтана
superfluous зайвий
wee wee
dome купол
shivering тремтіння
accidental випадковий
thickness товщина
darwin дарвін
continuance продовження
fixing фіксація
harris харріс
rustic сільський
cheered підбадьорював
vernon вернон
premises приміщення
delivery доставка
nodding кивнув
snowy сніжний
curved вигнуті
productive продуктивний
discouraged не рекомендується
variations варіації
shilling шилінг
swollen набряк
miraculous чудодійний
stubborn впертий
belgium бельгія
drives диски
jerome джером
orchard фруктовий сад
persuasion переконання
invaded вторглися
alps альпи
ungrateful невдячний
insensible нечутливий
muscle м'язи
madrid мадрид
flanders фландрія
cultivate культивувати
involuntarily мимоволі
speedy швидкий
variation варіація
marian маріан
harp арфа
peaks вершини
daybreak зима
magnitude величина
precautions заходи безпеки
rub руб
requiring що вимагає
coral корал
grapes виноград
fairest найкраще
locality місцевість
opponent супротивник
bondage кабала
beans квасоля
cowardly боягузливо
grandson онук
leo лев
gertrude гертруда
nail цвях
protecting захист
hospitable гостинний
proving докази
benevolence доброзичливість
brussels брюссель
civilisation цивілізація
mounting монтаж
desiring бажаючи
rushes кидається
precision точність
watchful пильно
harness збруя
perchance належність
forbade заборонив
channels канали
indication індикація
zealous ревний
tact такт
seventeenth сімнадцятий
theodore теодор
stating зазначаючи
toast тост
dreadfully страшно
judith джудіт
asterisk зірочка
virgil вергілій
edifice будівля
swelled розбухнув
accomplishment досягнення
sundry інше
reckoning розрахунок
mouse миша
prostrate простудити
helm руль
slim стрункий
whistling свист
syllable слог
handwriting почерк
commissioners комісари
lime лайм
spur шпора
unfit непридатний
gen. ген
relish насолоджуватися
reduction скорочення
sown посів
venetian венеціанський
cordially сердечно
hush тихо
breasts груди
slipping ковзання
pat пат
arabian арабський
dialogue діалог
forwards вперед
entreat попросіть
fascination захоплення
belly живіт
neutral нейтральний
grasping захоплення
diligence старанність
disgusted огидно
retiring у відставці
strokes штрихи
sob рыдай
vine виноградна лоза
compose скласти
valentine валентин
harvey харві
icy крижаний
inconvenience незручність
v проти
pots горщики
dimensions розміри
abused зловживали
armor броня
detect виявити
contradiction протиріччя
banker банкір
infamous ганебний
powerless безсилий
passenger пасажирський
crust кірка
historians історики
disclaim відмовлятися від
norway норвегія
peculiarities особливості
sting жало
simultaneously одночасно
watches годинник
cong. конг
episode епізод
achieve домогтися
populace населення
sherman шерман
incense ладан
rebecca ребекка
jordan йорданія
persistent наполегливий
wisconsin вісконсін
ho го
ta та
fruitful плідний
scoundrel негідник
coasts узбережжя
starve голодувати
denmark данія
scots шотландці
consultation консультація
habitation житло
goat козел
howling вигулювати
tailor кравця
flourish процвітати
trifles дрібниці
dashing лихий
disappearance зникнення
sour кислий
practicable практично можливо
shameful ганебний
inviting запрошувати
criminals злочинці
leisurely неквапливо
accumulated накопичений
audible чути
topics теми
expends витрачає
radiance сяйвості
underline підкреслити
parade парад
spoils псувати
helmet шолом
consternation жах
expenditures витрати
impose нав'язувати
originator автор
pa па
unequal нерівний
wooded лісистий
enduring витривалість
ox вола
valet лейтенант
proclaim проголосити
carl карл
impossibility неможливість
lydia лідія
territories територій
deference повага
ravine яр
geoffrey джеффрі
blanche бланш
accommodation житло
boyish мальовничий
spray спрей
theological теологічний
anonymous анонімний
injurious шкідливий
formally формально
sports спорт
ab аб
scales ваги
wyoming вайомінг
discontinue припинити
calf теля
manual керівництво
disturbing тривожна
potent потужний
anticipation очікування
melt танути
tilde тильда
thames темза
grade клас
mischievous пустотливий
pang пан
pathos пафос
alternately по черзі
brisk жвавий
stool табурет
justification обгрунтування
foreigner іноземець
endeavouring прагнення
satire сатира
al al
delete видалити
masculine чоловічий
spies шпигуни
umbrella парасолька
transportation перевезення
yell крикнути
remnant залишок
boot черевик
ignored ігнорується
thrilling захоплююча
ale ель
mineral мінерал
goose гусак
nebraska штат небраска
truce перемир'я
lastly нарешті
airy веселий
sketches ескізи
groves гаї
col. кол.
11th 11-е місце
comprehension усвідомлення
cling чіплятися
duck качка
abyss безодня
alaska аляска
baffled здивований
planning планування
abominable мерзенний
aversion відраза
drawings креслення
customers клієнти
weird дивний
stewart стюарт
traveled їздив
alan алан
incessantly безперервно
flattery лестощі
director режисер
improbable неймовірно
moderation модерація
awakening пробудження
males самці
pairs пари
temporal тимчасовий
con кон
nicely красиво
lapse закінчується
vitality життєвий тонус
soap мило
patriot патріот
malicious шкідливий
eyed очах
pirates пірати
enforce примусове виконання
doll лялька
briskly жваво
sez sez
skeleton скелет
comprehensive всеосяжний
buttons кнопки
crushing дроблення
personages особистості
threaten загрожуй
nuts горіхи
undone скасовано
wright райт
frankness відвертість
hides ховається
progressive прогресивний
rogers роджерс
villa вілла
aristotle арістотель
resource ресурс
irs irs
confine обмежити
sewing шиття
co co
congratulate вітаю
walt уолт
reconcile примирити
insurance страхування
terminated припинено
dusky пухкий
appoint призначити
pearl перлина
thrilled в захваті
gains прибуток
interrupt переривання
extravagance екстравагантність
jokes жарти
suppress придушувати
quod quod
signify означати
layer шар
clue ключ
kettle чайник
contemplate споглядати
aforesaid вищесказане
tooth зуб
sensibility чуттєвість
boldness сміливість
mature зрілий
cuba куба
tolerable терпимо
rabbit кролик
befallen стався
needless непотрібний
yankee янки
awaken прокидайся
clasp застібка
lets дозволяє
blinded засліплений
conductor диригент
dependence залежність
guarantee гарантія
affectionately лагідно
player гравець
wires дроти
thicket зарості
walker ходок
outstretched витягнутий
procedure процедура
wheeled колісний
aye ай
oneself сам
recommendation рекомендація
projecting проектування
shriek крик
futile марно
cheerfulness бадьорість
deity божество
fifteenth п'ятнадцяте місце
gap розрив
muscular м'язовий
dripping капає
insect комаха
values цінності
brooding задумливий
restaurant ресторан
baptism хрещення
imaginative образний
rhyme рифма
exhaustion виснаження
intrigue інтрига
senseless безглуздо
hercules геркулес
yearly щорічно
baron барон
occupying займаючи
imply мати на увазі
absurdity абсурдність
launched запущений
resolutely рішуче
vowed поклявся
attach прикріпити
characterized характеризується
fellowship стипендія
posture постава
caps шапки
leon леон
demanding вимагає
owl сова
beset осілий
ensuring забезпечення
suite люкс
tennyson теннісон
thereto до цього
heaped навалений
jewel коштовність
regained повернувся
voluntarily добровільно
longitude довгота
permanently постійно
jumping стрибки
babe дитинка
secondly по-друге
violin скрипка
rogue мошенник
rainy дощовий
reconciliation примирення
emotional емоційний
radical радикальний
accursed проклятий
tendencies тенденції
concrete бетон
resident резидент
lustre блиск
hull корпус
ominous зловісний
overboard за бортом
uproar висміювати
cavern печера
combine комбінувати
respectively відповідно
menace загроза
pilgrims прочани
jeff джефф
peak пік
currency валюта
silken шовковий
violet фіолетовий
khan хан
mastery майстерність
objective об'єктивний
plucked збитий
litter сміття
memorial меморіал
bids ставки
fondly приємно
clapped хлопав
tariff тариф
beneficial корисно
unsolicited небажані
reluctant неохоче
separately окремо
patronage патронаж
revenues доходи
dragon дракон
zeus зевс
mike мікрофон
ranges діапазони
vexation роздратування
indicates вказує
overheard підслухати
tray лоток
raymond раймонд
thereafter після цього
exporting експорт
mound курган
taxation оподаткування
frenzy божевілля
horizontal горизонтальний
thirsty спрагу
disputed оскаржується
charter чартер
redistribution перерозподіл
boasted хвалився
item позиція
moscow москва
termination припинення
eminently головним чином
suggestive сугестивний
linger затримуватися
shady тіньовий
calculation розрахунок
expansion розширення
mast мачта
confer давати
sophia софія
commanders командири
pitied жалюгідний
twist твіст
traditional традиційний
involve залучити
interfered втручався
achilles ахілл
wanton безглуздий
repay погасити
brother-in-law свекруха
routine рутина
son-in-law зять
gaul галлія
groom наречений
solve вирішити
grassy трав'янисті
tempt спокусити
unsuccessful невдалий
witty дотепний
politician політик
yearning прагнення
lid кришка
noticing помічаючи
courtiers придворні
cheering підбадьорювати
bounty щедрість
consequent наслідок
renown слава
regulation регулювання
fowl птиця
mayor міський голова
wrinkled зморшкувата
defy сперечатися
threads нитки
violation порушення
junction з'єднання
boss бос
particles частинки
glories слава
signifies означає
constrained обмежений
paternal батьківський
piles палі
hardware апаратне забезпечення
engaging залучення
e.g. наприклад,
peer одноліток
counties повіти
mocking глузування
ch. ч.
avoiding уникаючи
rebuke докоряти
abolished скасовано
cheers підбадьорює
idiot ідіот
3rd 3-й
morbid хворобливий
wrung вибитий
e-mail електронна пошта
outcome результат
gilt позолота
coldness холодність
applying застосування
strand нитка
renowned відомий
fishermen рибалки
creative креативний
circus цирк
moustache вуса
proverb прислів'я
lowering знижуючи
biggest найбільший
sly хитро
nursing годувати
boon благом
weighing зважування
oklahoma оклахома
brink грань
degraded деградований
avenge помститися
hum гул
minority меншість
spaniard іспанець
ridges хребти
perils небезпеки
larry ларрі
merchandise товар
aloof осторонь
despairing відчайдушний
acquisition придбання
asylum притулок
chickens курячі
placid спокійний
affirm підтвердити
trod тромб
gardener садівник
schedule розклад
calmness спокій
protector захисник
concealment приховування
trench окоп
fore на перший план
accession приєднання
dey дай
connexion зв'язок
cairo каїр
mend поправляти
considers вважає
twenty-one двадцять один
municipal муніципальний
achievements досягнення
cherish плекати
deserving гідний
exert наносити
riot бунт
veteran ветеран
advancement просування
inventor винахідник
meek лагідний
cameron кемерон
hopelessly безнадійно
judicious розсудливий
tending намагаючись
testify свідчить
governess гувернантка
orchestra оркестр
garb одяг
condemnation засудження
foregoing вищесказане
bacon бекон
maternal материнська
wasting витрачати
australian австралійський
strata страти
hushed затиснутий
maryland меріленд
sculpture скульптура
miniature мініатюра
corrections виправлення
tangled заплутаний
completion завершення
regulated регулюється
athenian афінянин
flavor аромат
brand бренд
intimately тісно
unlimited необмежений
dipped занурений
luggage багаж
inconsistent непослідовний
forsaken покинуто
feebly слабо
woven сплетений
lloyd ллойд
rubbish сміття
tool інструмент
spirited енергійний
christendom християнство
chaos хаос
twinkling блимання
muffled приглушений
accents акценти
accidentally випадково
degradation деградація
emancipation емансипація
prosecution судове переслідування
cleveland клівленд
outbreak спалах
defending захищати
dwarf карлик
abundantly рясно
turner токарь
disadvantage недолік
abolition скасування
disregard ігнорувати
deliberation обговорення
filthy брудно
ak ак
notifies сповіщає
dealings операції
demonstrated продемонстрував
paced темп
tense напружений
drums барабани
interpreter перекладач
vanish зникає
astray помилуй
hen курка
workman робітник
asunder підлогу
baked запечений
baltimore балтімор
bustle суєта
winged крилатий
mentioning згадуючи
pastoral пастирський
fabric тканина
trim порядок
musician музикант
twenty-two двадцять два
patty пасти
mentally подумки
wrecked зруйнований
discreet стриманий
godfrey годфрі
apostle апостол
ledge виступ
roast смажена
accessed доступ до
preface передмова
convincing переконливо
quiver тремтіти
stocks акції
mourn скорбити
commented прокоментував
redistribute перерозподіляти
precipice прірва
outdated застаріла
juliet джульєтта
dialect діалект
elementary елементарний
freight фрахт
cowardice боягузтво
wipe протріть
deserts пустелі
shelves полиці
denial заперечення
traits риси
denounced засуджено
eric ерік
underground під землею
phantom привид
whirling крутиться
pecuniary грошовий
dire страшно
hostilities військові дії
gait похід
it'll це буде
vividly яскраво
instruct навчати
dickens діккенс
puritan пуританський
clutched зчеплений
acknowledgment підтвердження
conjunction зв'язок
oppressive гнітючий
intermediate середній
formula формула
hungary угорщина
sneer сміятися
ore руда
plentiful багатий
plump пухкий
combinations комбінації
purest чистий
cheat обдурити
doubly подвійно
inadequate неадекватний
leslie леслі
blest блаженний
forbear запізнись
haunt переслідувати
treaties договори
fearless безстрашний
constable констебль
enveloped огортається
enmity ворожнеча
watson уотсон
bridegroom наречений
curate курити
developing розвивається
frock сукня
mining видобуток
audacity сміливість
improper невідповідний
motto девіз
parisian паризький
faction фракція
architect архітектор
melting танення
delicately делікатно
register реєструйся
heroine героїня
indefinite невизначений
console консоль
defensive оборонний
perceptible відчутний
fruitless безплідний
ransom викуп
surplus надлишок
solicitude піклування
effectual ефективний
shiver тремтять
gal гал
wed ср
contemptuous презирливий
plough плуг
snakes змії
felicity щастя
reef риф
outset початок
constitutes складається
lament плач
tissue тканина
draft чернетка
impelled спровокований
epic епічний
fisherman рибалка
hawaii гаваї
obstinacy упертість
ulysses улісс
lemon лимон
voltaire вольтер
hound собака
measuring вимірювання
conscientious сумлінно
robber розбійник
toy іграшка
impart надати
statute статут
barry баррі
girdle пояс
basil базилік
rebellious бунтарський
stair сходинка
biting кусати
consulting консалтинг
perseverance наполегливість
manila маніла
massacre різанина
cough кашель
blazed палаючий
claude клод
transition перехід
button кнопка
headache головний біль
word слово
tenant орендар
burns опіки
harmonious гармонійний
dreamy мрійливий
burgundy бордовий
collections колекції
unkind недобре
inscribed вписаний
cushions подушки
programme програма
din дін
laborious трудомісткий
manufacturing виробництво
markets ринки
zone зона
humane гуманний
ac змінного струму
fertility фертильність
languid млявий
ninth дев'ятий
curses прокляття
introducing введення
alcohol алкоголь
impending наближення
declining спад
advantageous вигідніше
heal зцілити
millennium тисячоліття
karl карл
ft. фут
staid стадіон
planting посадка
theatrical театральний
spectator глядач
winchester вінчестер
greedy жадібний
commonwealth співдружність
suffrage виборче право
tremulous тремтячий
commodities товари
stuffed фарширований
admitting допускаючи
aching болить
ninety дев'яносто
discomfort дискомфорт
imperative імператив
montreal монреаль
bobby боббі
bachelor бакалавр
geographical географічний
longest найдовший
courageous сміливий
carpenter тесляр
sundays неділі
concluding укладання
danish датська мова
steer керувати
influential впливовий
surround оточувати
random випадковий
ounce унція
afresh знову
dictated продиктовано
ruddy рум'яний
rusty іржавий
drown топити
irving ірвінг
slide слайд
sow сіяти
appalling жахливий
profess сповідувати
sickly хворобливий
rides атракціони
spoon ложка
imminent неминучий
dominant домінуючий
leadership керівництво
pinch щіпка
wearily втомлено
ducks качки
diary щоденник
duchess герцогиня
regain повернути
rum ром
churchyard церковний двір
fondness любов
apprehend затримай
ordinarily звичайно
quicker швидше
thereon на цьому
balloon повітряна куля
individuality індивідуальність
securely надійно
connecting підключення
celebrate святкувати
bluff блеф
dawned зійшло
amiss неправильний
chalk крейда
sticking прилипаючи
fuss метушня
dazed приголомшений
deputy заступник
forsake залишитись
automobile автомобільний
discussions дискусії
harrison харрісон
refreshment закуска
amendment поправка
appealing привабливий
eden едем
vertical вертикальний
insufficient недостатньо
manchester манчестер
hem кромка
gorge ущелина
baptized хрестився
damn чертовски
silvery сріблястий
pastor пастор
inherent властивий
preventing запобігання
inference висновок
advertisement реклама
mutton баранина
packing упаковка
enclosure корпус
theft крадіжка
publisher видавець
spontaneous спонтанний
otto отто
rats щурів
apparition поява
refreshing освіжаючий
irene ірена
sweetheart кохана
renounce відмовитись
lifeless безживний
adore обожнюй
vinegar оцет
normandy нормандія
uncovered розкритий
utility утиліта
orphan сирота
symbols символи
gracefully витончено
mightily сильно
peculiarity особливість
ash зола
floods повені
partake взяти участь
contemptible презирливий
deities божества
profane профанний
foreseen передбачається
conceit задуми
commend рекомендую
twelfth дванадцятий
bristol брістоль
manifestation прояв
revive відродити
prone схильний
connect підключити
princely княжий
overtake обігнати
improving поліпшення
downwards вниз
ferocious жахливий
intervention втручання
subsistence сутність
susceptible сприйнятливий
tunnel тунель
disciple учень
revival відродження
twins близнюки
ivy плющ
puzzle головоломка
citadel цитадель
temporarily тимчасово
despotism деспотизм
internet інтернет
mechanism механізм
stoop притискатися
directors режисери
mathematics математика
raft пліт
fade зникати
soothe заспокойся
pork свинина
substituted замінено
physically фізично
brilliancy блиск
dot крапка
loaf буханець
expanse простору
shocking шокуюче
rudely грубо
isle острів
balanced збалансований
extracted вилучено
fable байка
matches матчі
index індекс
gerard жерар
cigars сигари
liver печінка
transmit передавати
dispatch відправка
onto на
veranda веранда
dip опускати
inexplicable незбагненний
liar брехун
diminish зменшувати
dungeon підземелля
unit одиниця
pagan язичницький
phillips філліпс
brig бриг
monopoly монополія
rim ободок
sordid різнобарвний
complaining скаржиться
temperate помірний
chat чат
gambling азартні ігри
maps карти
amber бурштин
trot риба
howl вити
shipping доставка
ton тонна
magazines журнали
bricks цегла
submarine підводний човен
roberts робертс
cumberland камберленд
cecil сесіль
semblance подібність
palestine палестина
perpendicular перпендикулярно
regardless незалежно
fervent гарячий
sane здоровий
wreath вінк
animation анімація
earthquake землетрус
sloping похилий
smoothly плавно
tension напруженість
intrigues інтриги
fearfully страшно
macaulay макаулай
laboratory лабораторія
cork пробка
comments коментарі
whale кит
wedded заміжня
whiteness білість
convicted засуджений
deception обман
paved прокладено
scruple сумніватися
paintings картини
therewith з цим
religions релігії
governing управління
colleagues колеги
shrinking скорочується
tickets квитки
prophetic пророчий
undergo пройти
hare заєць
haze туман
poisonous отруйний
omit опустити
beware остерігайся
sagacity прозорість
concession концесія
worker робітник
ted тед
incline нахил
caste каста
leapt стрибати
dissatisfied незадоволений
hardest найважче
self-control самоконтроль
toilet туалет
buddha будда
offense злочин
woodland ліси
gentry шляхта
starvation голодування
grudge зраджувати
penance покаяння
tips поради
rooted коріння
outburst вибух
fortitude стійкість
turk турки
devour пожирай
malignant злоякісний
accorded надається
brandon брендон
anticipate чекай
speechless мовчазний
inquisition інквізиція
eccentric ексцентричний
anecdote анекдот
annals літопис
scrutiny перевірка
burroughs заглиблення
rhythm ритм
discord розбрат
marius мариус
diversion відволікання
archie арчі
rat щур
knit в'язати
correspond відповідати
detain затримай
dis дис
esp есп
interpret тлумачити
vehement похмурий
soda сода
naughty неслухняний
salon салон
operate працювати
idly нерозумно
imperious владний
peru перу
candid відвертий
whig віг
blooming цвітуть
wharf пристань
disgraceful ганебний
stunned приголомшений
redemption викуп
drain стікати
wage заробітна плата
cooper мідь
embassy посольство
unfinished незавершені
nasty неприємний
impetuous бурхливий
cemetery цвинтар
oblivion забуття
prohibited заборонено
breeches бриджі
abound багато
christine крістіна
frivolous легковажний
hugo гюго
essays нариси
plaster штукатурка
tap торкніться
chairman голова
dismiss звільнити
katherine катерина
provoke спровокувати
reside проживати
deficient дефіцит
decoration прикраса
heroism героїзм
toe ніг
wade вуде
apparel одяг
hazel ліщина
inability нездатність
farthest далекий
invent винаходити
knave рубати
twain твін
carelessness безтурботність
affectation афектація
connections з'єднання
climax кульмінація
avowed затверджений
industries промисловості
brood виродка
tempting спокусливий
define визначити
antwerp антверпен
forefathers предки
stretches тягнеться
gratifying приємний
plight тяжке становище
restricted обмежений
cupboard шафа
ludicrous безглуздо
alms милостиня
colossal колосальний
stupidity тупість
monotony одноманітність
stimulus подразник
vigilance пильність
digest дайджест
vale вале
overcoat шинель
colorado колорадо
wink підморгування
nous ноус
rack стійка
incomprehensible незбагненний
antagonist антагоніст
methinks метафізики
barley ячмінь
plateau плато
superintendent начальник
indescribable невимовний
expanded розширено
presentation презентація
archbishop архієпископ
devise придумай
rubber гума
adieu adieu
exclude виключити
carts візки
lone самотній
whisky віскі
abuses зловживання
inflict заподіяти
nightfall сонця
counts підраховує
chocolate шоколад
privileged привілейований
hermit відлюдник
exultation насолода
overtook обігнав
coincidence збіг
scratch подряпати
screw гвинт
caravan караван
divert переадресація
eliza еліза
comparing порівнюючи
hood капот
explore досліджувати
glove рукавичка
chaste нечистий
whirl вихор
adventurous пригодницький
skipper капітан
tiresome нудно
implements реалізує
recompense винагорода
plank дошка
insure застрахувати
laboured працював
exaggeration перебільшення
mi ми
shepherds пастухи
lilies лілії
ballad балада
befall статися
cylinder циліндр
teddy тедді
summary підсумок
daresay сміливо
photographs фотографії
colleges коледжі
dissolution розчинення
geneva генева
marches марші
instituted започатковано
seals пломби
vehemence жорстокість
chaplain капелан
knots вузли
wail кричати
kneel на коліна
unlikely навряд чи
deceit обман
challenged виклик
geography географія
herald герольд
lowly низько
peep заглянути
swarm рой
clarke кларк
joyfully радісно
engraved вигравіруемий
bowels кишечник
purposely навмисно
blindness сліпота
systematic систематичний
virtually практично
conformity відповідність
remedies засоби правового захисту
maxim максимум
indexes індекси
marshall маршалл
baking випічка
invincible непереможний
impertinent непристойний
bust бюст
visage візаж
intuition інтуїція
mingle змішати
bathing купання
arched арочний
investment інвестиції
tabernacle скинія
client клієнт
ghostly примарний
furs хутра
catalogue каталог
dock док
tenor тенора
arouse викликати
verbal словесний
excessively надмірно
brazil бразилія
strenuous напружений
irishman іришман
recess перерва
unclean нечистий
psalms псалми
analogy аналогія
chemistry хімія
peninsula півострів
infer вивести
maritime морський
secular світський
hawk яструб
rein перемогти
averted запобігти
bake спекти
constantine постійний
oracle оракул
alley алея
softness м'якість
pierce проколювати
spinning спінінг
snatch зривати
manufactured вироблено
launch запуск
psychology психологія
worms хробаки
regulate регулювати
farming сільське господарство
fasten закріпити
actress актриса
etiquette етикет
theater театр
thanksgiving подяка
valor доблесть
untouched недоторканий
tactics тактика
drug наркотик
adverse несприятливий
gaunt притулок
conducting проведення
veritable справжній
overtaken обігнав
distorted спотворене
rosa роза
nina ніна
quart кварт
caprice каприз
candy цукерки
obliging зобов'язаний
planets планети
soothed заспокоює
opium опіум
pavilion павільйон
strait пролив
sanguine сангвінік
cords шнури
odour запах
trout форель
paste вставити
regularity регулярність
metallic металевий
scrap брухт
convict засуджений
instructive повчальний
investigate розслідувати
celtic кельтський
package пакет
pirate пірат
fiend диявол
moan стогнути
revealing виявлення
trades торги
rounds раунди
accomplishments досягнення
crawl повзати
aft на кормі
prevalent поширений
role роль
dose доза
evans evans
hypocrisy лицемірство
salmon лосось
snap оснащення
alma альма
magical чарівний
tire шина
hetty хетті
impenetrable непроникний
geese гуси
